SM_ITEM|SM_DEST|SM_DEST_5ZIP|SM_SRC|SM_SRC_5ZIP|SM_ET|SM_QTY|SM_RANK|SM_P1|SM_COST|SM1_RANK|SM1_SRC|SM1_SRC_5ZIP|SM1_QTY|SM1_COST|P1_TOTALCOST|SM1_TOTALCOST|LOSS
4055RUPLUS|4000238643|38863|UT35|38672|VN|0|3|1|0.911|1|USA8|35204|8|0.976|7.288|7.808|-0.52
4055RUPLUS|4000238825|92509|USKI|91752|FB|0|2|1|0.473|1|UT45|85353|9|0.569|4.257|5.121|-0.864
4055RUPLUS|4000238909|60563|UT32|60502|VN|3|2|1|0.615|1|USHP|49036|16|0.873|9.84|13.968|-4.128
4055RUPLUS|4000239277|28433|USA7|27504|VN|1133|2|1|0.823|1|USUA|28216|1133|1.104|932.459|1250.832|-318.373
4055RUPLUS|4000239502|91352|UT2J|90660|VN|0|3|1|0.49|1|UT45|85353|105|0.788|51.45|82.74|-31.29
4055RUPLUS|4000239679|91745|UT2J|90660|VN|0|2|1|0.413|1|UT45|85353|8|0.633|3.304|5.064|-1.76
4055RUPLUS|4000239964|93455|UT2Q|93308|FB|0|2|1|1.125|1|UT45|85353|417|1.3|469.125|542.1|-72.975
4055RUPLUS|4000239980|54703|USPF|54729|VN|0|4|1|0.571|1|USRE|54660|102|0.625|58.242|63.75|-5.508
4055RUPLUS|4000240157|75709|USGA|75227|FB|0|2|1|0.894|1|USIL|75662|8731|0.963|7805.514|8407.953|-602.439
4055RUPLUS|4000240193|46992|UT3C|46241|VN|7|2|1|0.911|1|USIN|45371|33|1.067|30.063|35.211|-5.148
4055RUPLUS|4000240373|60436|UT25|60436|VN|0|3|1|0.671|1|USA4|40118|318|0.823|213.378|261.714|-48.336
4055RUPLUS|4000240727|14470|USFC|14623|VN|17|3|1|1.002|1|USXJ|12078|52|1.121|52.104|58.292|-6.188
4055RUPLUS|4000240918|60638|USQ4|60163|VN|899|2|1|0.56|1|USA9|17055|4494|0.792|2516.64|3559.248|-1042.608
4055RUPLUS|4000241063|95240|UT2W|95691|FB|249|2|1|0.531|1|USZX|91761|1158|0.917|614.898|1061.886|-446.988
4055RUPLUS|4000241075|52402|USIV|52404|VN|0|3|1|0.732|1|USNH|61008|312|0.884|228.384|275.808|-47.424
4055RUPLUS|4000241081|94587|UT43|95377|VN|0|2|1|0.631|1|USKR|89434|3372|0.775|2127.732|2613.3|-485.568
4055RUPLUS|4000241423|46975|UT3C|46241|VN|140|2|1|0.911|1|USIN|45371|698|1.067|635.878|744.766|-108.888
4055RUPLUS|4000241805|98848|USXB|99301|VN|0|2|1|1.063|1|USMX|97015|268|1.246|284.884|333.928|-49.044
4055RUPLUS|4000242195|61006|USNH|61008|VN|0|2|1|0.7|1|USQ4|60163|284|0.729|198.8|207.036|-8.236
4055RUPLUS|4000242280|90749|UT2J|90660|VN|0|3|1|0.807|1|UT2L|92064|76|0.896|61.332|68.096|-6.764
4055RUPLUS|4000242312|11763|USX1|11713|FB|8|2|1|0.833|1|USIK|18011|41|1.065|34.153|43.665|-9.512
4055RUPLUS|4000242384|52404|USIV|52404|VN|0|2|1|0.873|1|UT32|60502|1648|0.954|1438.704|1572.192|-133.488
4055RUPLUS|4000242606|60176|USQ4|60163|VN|0|2|1|0.713|1|USNZ|37207|661|1.196|471.293|790.556|-319.263
4055RUPLUS|4000242785|94603|UT43|95377|VN|0|3|1|0.521|1|USIB|95691|53|0.646|27.613|34.238|-6.625
4055RUPLUS|4000243522|68137|USMR|68110|VN|299|2|1|0.477|1|USXG|80011|299|0.856|142.623|255.944|-113.321
4055RUPLUS|4000243638|93257|UT3A|93725|FB|0|2|1|0.823|1|UT45|85353|163|1.275|134.149|207.825|-73.676
4055RUPLUS|4000243703|92227|USE1|91761|FB|0|2|1|1.017|1|UT45|85353|3|1.179|3.051|3.537|-0.486
4055RUPLUS|4000244538|95206|UT43|95377|VN|0|3|1|0.475|1|UT2W|95691|12|0.602|5.7|7.224|-1.524
4055RUPLUS|4000244971|91708|USKI|91752|FB|0|3|1|0.783|1|USWN|87121|595|1.35|465.885|803.25|-337.365
4055RUPLUS|4000245017|53223|US8Z|53110|VN|0|4|1|0.663|1|USVI|48150|18|0.938|11.934|16.884|-4.95
4055RUPLUS|4000245357|95336|USYD|95330|FB|0|3|1|0.413|1|US6D|89115|572|1.2|236.236|686.4|-450.164
4055RUPLUS|4000245516|14057|USFC|14623|VN|2|2|1|0.909|1|UT73|13057|2|1.067|1.818|2.134|-0.316
4055RUPLUS|4000245521|18020|USB5|06473|VN|0|4|1|0.86|1|USIA|22630|133|1.042|114.38|138.586|-24.206
4055RUPLUS|4000245524|43013|US8Y|43207|VN|87|2|1|0.667|1|USIR|21230|436|0.917|290.812|399.812|-109
4055RUPLUS|4000245546|95203|US4J|95376|VN|0|3|1|0.573|1|UT2W|95691|482|0.646|276.186|311.372|-35.186
